to fall in love	innamorarsi
love	amore
to bow	inchinarsi
to serve	servire
a tray	un vassoio
a cocktail	un cocktail
ordering a drink	ordinare un drink
a tray	un vassoio
being charming	essere affascinante
charm	fascino
full of charm	pieno di fascino
that's right!	esatto!
that's true!	vero!
to fall in love	innamorarsi
love	amore
to bow	chinarsi
to serve	servire
a tray	un vassoio
a cocktail	un cocktail
ordering a drink	ordinare una bevanda
a tray	un vassoio
being charming	essere affascinante
charm	fascino
full of charm	pieno di fascino
that's right!	esatto!
that's true!	̬ vero!
a politician	un politico
a charmer	un affascinatore
